ZONE_NO,ZONE_NAME,WARD_NO,WARD_NAME,CONFIRMED_CASES,BCG_vaccination_2014-2015
I,THIRUVOTTIYUR,1,,2,90.74
I,THIRUVOTTIYUR,2,Kathivakkam,2,90.74
I,THIRUVOTTIYUR,3,,2,90.74
I,THIRUVOTTIYUR,4,,2,90.74
I,THIRUVOTTIYUR,5,,2,90.74
I,THIRUVOTTIYUR,6,,2,90.74
I,THIRUVOTTIYUR,7,Thiruvotriyur,2,90.74
I,THIRUVOTTIYUR,8,,2,90.74
I,THIRUVOTTIYUR,9,,2,90.74
I,THIRUVOTTIYUR,10,,2,90.74
I,THIRUVOTTIYUR,11,,2,90.74
I,THIRUVOTTIYUR,12,,2,90.74
I,THIRUVOTTIYUR,13,,2,90.74
I,THIRUVOTTIYUR,14,,2,90.74
II,MANALI,15,Edayanchavadi,0,86.49
II,MANALI,16,Sadayankuppam,0,86.49
II,MANALI,17,Theeyampakkam,0,86.49
II,MANALI,18,Manali,0,86.49
II,MANALI,19,Mathur,0,86.49
II,MANALI,20,,0,86.49
II,MANALI,21,,0,86.49
II,MANALI,22,,0,86.49
III,MADHAVARAM,23,Puzhal,0,94.7
III,MADHAVARAM,24,Surappattu,0,94.7
III,MADHAVARAM,25,Kathirvedu,0,94.7
III,MADHAVARAM,26,Madhavaram,0,94.7
III,MADHAVARAM,27,,0,94.7
III,MADHAVARAM,28,,0,94.7
III,MADHAVARAM,29,Cinna sekkadu,0,94.7
III,MADHAVARAM,30,,0,94.7
III,MADHAVARAM,31,,0,94.7
III,MADHAVARAM,32,,0,94.7
III,MADHAVARAM,33,,0,94.7
III,MADHAVARAM,34,Kodungaiyur,0,94.7
IV,TONDIARPET,35,,5,97.07
IV,TONDIARPET,36,,5,97.07
IV,TONDIARPET,37,Vyasarpadi,5,97.07
IV,TONDIARPET,38,Dr. Radhakrishan nagar,5,97.07
IV,TONDIARPET,39,,5,97.07
IV,TONDIARPET,40,,5,97.07
IV,TONDIARPET,41,,5,97.07
IV,TONDIARPET,42,,5,97.07
IV,TONDIARPET,43,Tondiarpet,5,97.07
IV,TONDIARPET,44,Perambur,5,97.07
IV,TONDIARPET,45,,5,97.07
IV,TONDIARPET,46,,5,97.07
IV,TONDIARPET,47,,5,97.07
IV,TONDIARPET,48,,5,97.07
IV,TONDIARPET,49,,5,97.07
V,ROYAPURAM,50,Royapuram,10,94.08
V,ROYAPURAM,51,,10,94.08
V,ROYAPURAM,52,,10,94.08
V,ROYAPURAM,53,Old washermenpet,10,94.08
V,ROYAPURAM,54,,10,94.08
V,ROYAPURAM,55,,10,94.08
V,ROYAPURAM,56,Muthialpet,10,94.08
V,ROYAPURAM,57,Sowcarpet,10,94.08
V,ROYAPURAM,58,,10,94.08
V,ROYAPURAM,59,,10,94.08
V,ROYAPURAM,60,,10,94.08
V,ROYAPURAM,61,Egmore,10,94.08
V,ROYAPURAM,62,Chintadripet,10,94.08
V,ROYAPURAM,63,,10,94.08
VI,THIRU-VI-KA-NAGAR,64,Kolathur,1,91.83
VI,THIRU-VI-KA-NAGAR,65,,1,91.83
VI,THIRU-VI-KA-NAGAR,66,,1,91.83
VI,THIRU-VI-KA-NAGAR,67,,1,91.83
VI,THIRU-VI-KA-NAGAR,68,,1,91.83
VI,THIRU-VI-KA-NAGAR,69,,1,91.83
VI,THIRU-VI-KA-NAGAR,70,,1,91.83
VI,THIRU-VI-KA-NAGAR,71,Thiru vi ka nagar,1,91.83
VI,THIRU-VI-KA-NAGAR,72,,1,91.83
VI,THIRU-VI-KA-NAGAR,73,Pulianthope,1,91.83
VI,THIRU-VI-KA-NAGAR,74,,1,91.83
VI,THIRU-VI-KA-NAGAR,75,,1,91.83
VI,THIRU-VI-KA-NAGAR,76,,1,91.83
VI,THIRU-VI-KA-NAGAR,77,,1,91.83
VI,THIRU-VI-KA-NAGAR,78,Choolai,1,91.83
VII,AMBATTUR,79,,0,92.43
VII,AMBATTUR,80,,0,92.43
VII,AMBATTUR,81,,0,92.43
VII,AMBATTUR,82,,0,92.43
VII,AMBATTUR,83,,0,92.43
VII,AMBATTUR,84,,0,92.43
VII,AMBATTUR,85,Ambattur,0,92.43
VII,AMBATTUR,86,,0,92.43
VII,AMBATTUR,87,,0,92.43
VII,AMBATTUR,88,,0,92.43
VII,AMBATTUR,89,,0,92.43
VII,AMBATTUR,90,,0,92.43
VII,AMBATTUR,91,,0,92.43
VII,AMBATTUR,92,,0,92.43
VII,AMBATTUR,93,,0,92.43
VIII,ANNANAGAR,94,Villivakkam,7,100
VIII,ANNANAGAR,95,,7,100
VIII,ANNANAGAR,96,,7,100
VIII,ANNANAGAR,97,,7,100
VIII,ANNANAGAR,98,,7,100
